Date,Open,High,Low,Close,Adj Close,Volume,PnL,% Change
12/8/2015,35350,35425,35025,35100,33137.45703,2736500,Loss,0.707213579
12/9/2015,35100,35100,35100,35100,33137.45703,0,Same,0
12/10/2015,35100,35450,35100,35375,33397.08203,1693200,Profit,0.783475783
12/11/2015,35375,35400,34500,34675,32736.21875,1955700,Loss,1.978798587
12/14/2015,35800,35800,34150,35150,33184.66406,1433800,Loss,1.815642458
12/15/2015,35000,35150,34525,35125,33161.0625,1878600,Profit,0.357142857
12/16/2015,35625,35675,35125,35350,33373.47656,1426000,Loss,0.771929825
12/17/2015,36000,37000,35500,37000,34931.22656,3293900,Profit,2.777777778
12/18/2015,36100,36500,35800,35875,33869.125,2067200,Loss,0.623268698
12/21/2015,35875,35900,35350,35600,33609.5,1183400,Loss,0.766550523
12/22/2015,35500,36975,35500,36975,34907.61719,1574400,Profit,4.154929577
12/23/2015,36975,36975,36250,36650,34600.79297,1203100,Loss,0.878972279
12/28/2015,36650,37075,36375,37025,34954.82422,1776100,Profit,1.02319236
12/29/2015,37200,37250,37000,37250,35167.23828,1084600,Profit,0.134408602
12/30/2015,37300,37625,37000,37000,34931.22656,2431700,Loss,0.804289544
1/4/2016,37000,37050,36000,36000,33987.13281,1116800,Loss,2.702702703
1/5/2016,36000,36975,35450,35675,33680.30078,3716400,Loss,0.902777778
1/6/2016,35800,37500,35800,37425,35332.46094,2618700,Profit,4.539106145
1/7/2016,36925,36925,36000,36000,33987.13281,2236400,Loss,2.505077861
1/8/2016,36000,36350,35750,36175,34152.35156,3260600,Profit,0.486111111
1/11/2016,35900,35925,35300,35325,33349.87891,1940600,Loss,1.601671309
1/12/2016,35400,36250,35400,36100,34081.54688,1191600,Profit,1.97740113
1/13/2016,36150,36475,35950,36100,34081.54688,1721600,Loss,0.138312586
1/14/2016,35875,36250,35575,35725,33727.51172,2274000,Loss,0.418118467
1/15/2016,35775,36200,35775,36000,33987.13281,1175000,Profit,0.628930818
1/18/2016,35500,36100,35500,35650,33656.70703,956600,Profit,0.422535211
1/19/2016,35975,36200,35600,35900,33892.72656,682800,Loss,0.20847811
1/20/2016,35700,36250,35600,35600,33609.5,2517800,Loss,0.280112045
1/21/2016,35875,36200,35600,35800,33798.32031,1558700,Loss,0.209059233
1/22/2016,36200,36200,35375,35600,33609.5,3471400,Loss,1.657458564
1/25/2016,35950,36200,35625,35625,33633.09766,1691300,Loss,0.90403338
1/26/2016,35800,36150,35600,35975,33963.53906,1703700,Profit,0.488826816
1/27/2016,36000,37300,35825,37300,35214.44531,2619700,Profit,3.611111111
1/28/2016,37300,37325,36525,37250,35167.23828,1413400,Loss,0.134048257
1/29/2016,37150,37150,36100,36700,34647.99609,4925500,Loss,1.211305518
2/1/2016,36700,36800,36050,36800,34742.40234,2018800,Profit,0.272479564
2/2/2016,36700,37700,36525,37475,35379.66016,3189200,Profit,2.111716621
2/3/2016,37300,39000,37000,38625,36465.36328,5302500,Profit,3.55227882
2/4/2016,38625,39950,38625,39950,37716.28125,3793600,Profit,3.430420712
2/5/2016,39950,41600,39900,40600,38329.9375,4065200,Profit,1.627033792
2/9/2016,40600,41000,39625,40850,38565.96094,854200,Profit,0.615763547
2/10/2016,41000,41075,40475,40850,38565.96094,1309700,Loss,0.365853659
2/11/2016,40900,41550,40500,41550,39226.82031,2214300,Profit,1.589242054
2/12/2016,40500,41600,40500,41100,38801.98047,1593200,Profit,1.481481481
2/15/2016,41675,41675,41475,41575,39250.42188,1044300,Loss,0.23995201
2/16/2016,41500,41525,40550,41000,38707.57031,1327800,Loss,1.204819277
2/17/2016,41000,41575,41000,41350,39038,1654500,Profit,0.853658537
2/18/2016,41600,41875,40750,41675,39344.82813,2444800,Profit,0.180288462
2/19/2016,41675,42775,41525,42750,40359.72656,4082500,Profit,2.579484103
2/22/2016,42750,43800,42250,43375,40949.77344,1693500,Profit,1.461988304
2/23/2016,43750,44100,40850,42450,40076.49609,3036000,Loss,2.971428571
2/24/2016,42400,42400,41200,42000,39651.66406,1567400,Loss,0.943396226
2/25/2016,42450,43200,42250,42725,40336.12109,1376100,Profit,0.647820966
2/26/2016,43900,43900,42700,43900,41445.42578,1200600,Same,0
2/29/2016,43950,46175,43500,44525,42035.47656,4274000,Profit,1.308304892
3/1/2016,44525,45800,44525,45400,42861.55469,1267800,Profit,1.965188097
3/2/2016,45000,47800,45000,47800,45127.36328,3216200,Profit,6.222222222
3/3/2016,47800,47800,46000,46425,43829.24609,2832400,Loss,2.876569038
3/4/2016,46900,47500,44025,45200,42672.73828,3178100,Loss,3.624733475
3/7/2016,45750,45850,44100,44150,41681.44531,1738900,Loss,3.49726776
3/8/2016,44150,44450,42500,43500,41067.79297,3915600,Loss,1.472253681
3/10/2016,43375,43500,41975,42750,40359.72656,4344100,Loss,1.44092219
3/11/2016,null,null,null,null,null,null,#VALUE!,#VALUE!
3/14/2016,null,null,null,null,null,null,#VALUE!,#VALUE!
3/15/2016,44250,44450,43825,44050,41587.03516,2496100,Loss,0.451977401
3/16/2016,43500,44100,43500,44050,41587.03516,1352800,Profit,1.264367816
3/17/2016,44150,44250,43250,43875,41421.82813,2011000,Loss,0.622876557
3/18/2016,43500,44450,43500,44450,41964.67188,3660300,Profit,2.183908046
3/21/2016,44000,44750,43675,44000,41539.83203,2057200,Same,0
3/22/2016,43600,43975,43075,43525,41091.39063,1834500,Loss,0.172018349
3/23/2016,43300,43325,42500,43000,40595.74219,3069700,Loss,0.692840647
3/24/2016,42500,42825,42400,42525,40147.30859,1581600,Profit,0.058823529
3/28/2016,42525,42525,42000,42000,39651.66406,1440900,Loss,1.234567901
3/29/2016,42025,42975,42025,42975,40572.14453,3189200,Profit,2.260559191
3/30/2016,42950,43225,42500,42975,40572.14453,3123000,Profit,0.058207218
3/31/2016,43350,43350,42575,42925,40524.9375,3203100,Loss,0.980392157
4/1/2016,43000,43200,42725,43175,40760.96094,1239800,Profit,0.406976744
4/4/2016,43350,43800,43200,43500,41067.79297,1534600,Profit,0.346020761
4/5/2016,43525,43725,43325,43325,40902.57031,836600,Loss,0.459506031
4/6/2016,43025,43500,43000,43500,41067.79297,992000,Profit,1.104009297
4/7/2016,43800,43800,43050,43150,40737.35938,1931500,Loss,1.484018265
4/8/2016,42700,43375,42550,43000,40595.74219,1461200,Profit,0.702576112
4/11/2016,null,null,null,null,null,null,#VALUE!,#VALUE!
4/12/2016,42475,44000,42200,43950,41492.62891,1505900,Profit,3.472630959
4/13/2016,null,null,null,null,null,null,#VALUE!,#VALUE!
4/14/2016,null,null,null,null,null,null,#VALUE!,#VALUE!
4/15/2016,null,null,null,null,null,null,#VALUE!,#VALUE!
4/18/2016,null,null,null,null,null,null,#VALUE!,#VALUE!
4/19/2016,43950,43950,43950,43950,41492.62891,0,Same,0
4/20/2016,45475,46000,44750,45300,42767.14844,3519000,Loss,0.384826828
4/21/2016,45300,47125,45125,46500,43900.05469,3727500,Profit,2.649006623
4/22/2016,46500,47300,45525,47000,44372.08984,2413000,Profit,1.075268817
4/25/2016,46450,46450,44300,44775,42271.50391,3210200,Loss,3.606027987
4/26/2016,44775,44775,43650,43900,41445.42578,1934600,Loss,1.954215522
4/27/2016,43800,44150,43300,44150,41681.44531,1748500,Profit,0.799086758
4/28/2016,44150,44175,42825,43475,41044.18359,2134000,Loss,1.528878822
4/29/2016,43475,43475,42575,42575,40194.50781,1657600,Loss,2.070155262
5/2/2016,42600,43250,42350,43250,40831.76563,575600,Profit,1.525821596
5/3/2016,43475,43775,43400,43775,41327.41406,1280000,Profit,0.690051754
5/4/2016,43800,45150,43350,45150,42625.53516,2387900,Profit,3.082191781
5/9/2016,44250,44975,43575,44500,42011.875,1568500,Profit,0.564971751
5/10/2016,44450,44500,43325,43925,41469.02344,1304000,Loss,1.181102362
5/11/2016,44300,44975,43575,44300,41823.05859,515600,Same,0
5/12/2016,44300,44800,44100,44300,41823.05859,448300,Same,0
5/13/2016,44300,44550,43650,44400,41917.46875,1192300,Profit,0.225733634
5/16/2016,44200,44200,43000,43050,40642.95313,1415000,Loss,2.601809955
5/17/2016,43050,43475,43000,43075,40666.55469,1165700,Profit,0.058072009
5/18/2016,43075,43600,42700,42950,40548.53516,1836600,Loss,0.290191526
5/19/2016,43400,43400,42800,42800,40406.92578,1209600,Loss,1.382488479
5/20/2016,42800,42800,42525,42550,40170.90625,1037200,Loss,0.58411215
5/23/2016,42700,43075,42700,42975,40572.14453,839900,Profit,0.644028103
5/24/2016,43000,43050,42500,42500,40123.69922,736000,Loss,1.162790698
5/25/2016,42700,44000,42700,43700,41256.60156,1365600,Profit,2.341920375
5/26/2016,43500,43675,43025,43675,41233.00781,826200,Profit,0.402298851
5/27/2016,43650,44000,43100,44000,41539.83203,1013400,Profit,0.801832761
5/30/2016,43600,43900,43600,43725,41280.21094,585200,Profit,0.286697248
5/31/2016,43100,43250,43000,43100,40690.15625,3814700,Same,0
6/1/2016,43100,43550,43100,43550,41114.99609,1389400,Profit,1.044083527
6/2/2016,43125,43575,43100,43250,40831.76563,942400,Profit,0.289855072
6/3/2016,43250,43450,43050,43150,40737.35938,1230300,Loss,0.231213873
6/6/2016,43300,43525,43050,43200,40784.56641,1725200,Loss,0.230946882
6/7/2016,43175,43650,43150,43650,41209.40234,1596300,Profit,1.100173712
6/8/2016,43400,43800,43250,43800,41351.01563,1608000,Profit,0.921658986
6/9/2016,43525,43600,43175,43250,40831.76563,1578500,Loss,0.631820793
6/10/2016,43200,43250,42975,43000,40595.74219,1187200,Loss,0.462962963
6/13/2016,42800,43250,42800,43000,40595.74219,528800,Profit,0.46728972
6/14/2016,42825,43500,42825,43500,41067.79297,978200,Profit,1.576182137
6/15/2016,43375,43800,43175,43800,41351.01563,593200,Profit,0.979827089
6/16/2016,43500,43800,43425,43575,41138.60156,1112900,Profit,0.172413793
6/17/2016,43525,43600,43175,43575,41138.60156,1522800,Profit,0.114876508
6/20/2016,43800,43800,43150,43600,41162.19531,927800,Loss,0.456621005
